angle,Velocidade,Tempo
183,-40.44,30.95
195,-40.60,30.99
195,-40.60,30.99
195,-40.60,31.02
195,-40.60,31.02
195,-40.60,31.06
195,-40.60,31.06
195,-40.60,301.09
195,-40.60,301.09
0,0.12,0.12
0,0.12,0.12
226,-40.89,31.16
226,-40.89,31.16
246,-41.70,31.19
246,-41.70,31.19
256,-40.97,31.23
256,-40.97,31.23
256,-40.97,31.26
256,-40.97,31.26
272,-41.90,31.30
272,-41.90,31.30
282,-40.31,31.33
282,-40.31,31.33
289,-41.10,31.37
289,-41.10,31.37
289,-41.10,31.41
289,-41.10,31.41
289,-41.10,31.44
289,-41.10,31.44
321,-41.69,31.48
321,-41.69,31.48
323,-41.10,31.51
323,-41.10,31.51
323,-41.10,31.55
323,-41.10,31.55
338,-42.47,31.58
338,-42.47,31.58
338,-42.47,31.61
338,-42.47,31.61
338,-42.47,31.65
338,-42.47,31.65
338,-42.47,31.68
338,-42.47,31.68
338,-42.47,31.72
338,-42.47,31.72
338,-42.47,31.75
338,-42.47,31.75
18,-41.93,310.00
18,-41.93,310.00
82,82.00,82.00
82,82.00,82.00
36,-42.23,310.86
36,-42.23,310.86
36,-42.23,310.00
36,-42.23,310.00
93,93.00,93.00
93,93.00,93.00
75,-42.79,310.96
75,-42.79,310.96
75,-42.79,310.00
75,-42.79,310.00
3,3.00,3.00
3,3.00,3.00
102,-43.01,32.06
102,-43.01,32.06
115,-43.54,32.10
115,-43.54,32.10
124,-44.50,32.13
124,-44.50,32.13
124,-44.50,32.17
124,-44.50,32.17
124,-44.50,32.20
124,-44.50,32.20
124,-44.50,32.24
124,-44.50,32.24
124,-44.50,32.27
124,-44.50,32.27
124,-44.50,32.31
124,-44.50,32.31
164,-43.29,32.34
164,-43.29,32.34
173,-41.01,32.38
173,-41.01,32.38
195,-42.79,32.41
195,-42.79,32.41
202,-41.99,32.45
202,-41.99,32.45
210,-42.46,32.48
210,-42.46,32.48
217,-43.40,32.52
217,-43.40,32.52
217,-43.40,32.55
217,-43.40,32.55
217,-43.40,32.59
217,-43.40,32.59
217,-43.40,32.62
217,-43.40,32.62
217,-43.40,32.66
217,-43.40,32.66
248,-42.61,302.69
248,-42.61,302.69
0,0.73,0.73
0,0.73,0.73
248,-42.61,32.76
248,-42.61,32.76
248,-42.61,32.80
248,-42.61,32.80
248,-42.61,32.83
248,-42.61,32.83
248,-42.61,32.87
248,-42.61,32.87
293,-43.92,32.90
293,-43.92,32.90
293,-43.92,32.94
293,-43.92,32.94
293,-43.92,32.97
293,-43.92,32.97
293,-43.92,33.01
293,-43.92,33.01
293,-43.92,33.04
293,-43.92,33.04
293,-43.92,33.08
293,-43.92,33.08
328,-43.48,33.11
328,-43.48,33.11
349,-43.86,33.15
349,-43.86,33.15
18,-39.97,33.18
18,-39.97,33.18
43,-36.58,33.22
43,-36.58,33.22
49,-34.59,33.25
49,-34.59,33.25
49,-34.59,33.28
49,-34.59,33.28
49,-34.59,33.32
49,-34.59,33.32
64,-15.68,33.35
64,-15.68,33.35
